CrossRoad -4715.0:4735.0
CrossRoad 3670.0:4735.0
CrossRoad 3670.0:-4805.0
CrossRoad 295.0:3100.0
CrossRoad 3670.0:3100.0
CrossRoad 2125.0:3100.0
FourLaneRoad 325.0:3100.0 2095.0:3100.0
FourLaneRoad 2155.0:3100.0 3640.0:3100.0
FourLaneRoad 2125.0:3820.0 2125.0:3130.0
CrossRoad 2125.0:3850.0
CrossRoad 3670.0:3850.0
FourLaneRoad 3670.0:4705.0 3670.0:3880.0
FourLaneRoad 3670.0:3820.0 3670.0:3130.0
CrossRoad 295.0:-755.0
FourLaneRoad 295.0:3070.0 295.0:-725.0
CrossRoad -4715.0:-755.0
FourLaneRoad 265.0:-755.0 -4685.0:-755.0
CrossRoad 835.0:-4805.0
FourLaneRoad 3640.0:-4805.0 865.0:-4805.0
CrossRoad 835.0:-755.0
FourLaneRoad 805.0:-755.0 325.0:-755.0
FourLaneRoad 865.0:-755.0 3640.0:-755.0
CrossRoad 3670.0:-755.0
FourLaneRoad 3670.0:3070.0 3670.0:-725.0
CrossRoad 3235.0:3850.0
FourLaneRoad 2155.0:3850.0 3205.0:3850.0
FourLaneRoad 3265.0:3850.0 3640.0:3850.0
FourLaneRoad 3235.0:3880.0 3235.0:4705.0
CrossRoad 3235.0:4735.0
FourLaneRoad 3265.0:4735.0 3640.0:4735.0
CrossRoad -185.0:3100.0
FourLaneRoad 265.0:3100.0 -155.0:3100.0
FourLaneRoad -185.0:3130.0 -185.0:4705.0
CrossRoad -185.0:4735.0
FourLaneRoad -4685.0:4735.0 -215.0:4735.0
FourLaneRoad -155.0:4735.0 3205.0:4735.0
CrossRoad 835.0:-4475.0
FourLaneRoad 835.0:-4775.0 835.0:-4505.0
FourLaneRoad 805.0:-4475.0 -890.0:-4475.0
CrossRoad -920.0:-4475.0
FourLaneRoad -920.0:-4445.0 -920.0:-4280.0
CrossRoad -920.0:-4250.0
FourLaneRoad -920.0:-4220.0 -920.0:-4055.0
CrossRoad -920.0:-4025.0
FourLaneRoad -890.0:-4025.0 805.0:-4025.0
CrossRoad 835.0:-4025.0
FourLaneRoad 835.0:-4445.0 835.0:-4055.0
FourLaneRoad -950.0:-4250.0 -4685.0:-4250.0
CrossRoad -4715.0:-4250.0
FourLaneRoad -4715.0:-4220.0 -4715.0:-785.0
FourLaneRoad -215.0:3100.0 -4685.0:3100.0
CrossRoad -4715.0:3100.0
FourLaneRoad -4715.0:-725.0 -4715.0:3070.0
FourLaneRoad -4715.0:3130.0 -4715.0:4705.0
CrossRoad 835.0:-3800.0
FourLaneRoad 835.0:-3995.0 835.0:-3830.0
CrossRoad 835.0:-3185.0
FourLaneRoad 835.0:-3770.0 835.0:-3215.0
FourLaneRoad 835.0:-3155.0 835.0:-785.0
FourLaneRoad 865.0:-3185.0 3640.0:-3185.0
FourLaneRoad 865.0:-3800.0 3640.0:-3800.0
CrossRoad 3670.0:-3800.0
FourLaneRoad 3670.0:-3830.0 3670.0:-4775.0
CrossRoad 3670.0:-3185.0
FourLaneRoad 3670.0:-785.0 3670.0:-3155.0
FourLaneRoad 3670.0:-3215.0 3670.0:-3770.0
NetworkPoint 2185.0:4720.0 -> 2230.0:4720.0
NetworkPoint -4580.0:3115.0 -> -4625.0:3115.0
NetworkPoint -4700.0:-1520.0 -> -4700.0:-1475.0
NetworkPoint 2695.0:3835.0 -> 2740.0:3835.0
NetworkPoint 3220.0:4390.0 -> 3220.0:4345.0
NetworkPoint 3070.0:-3815.0 -> 3115.0:-3815.0
NetworkPoint 3685.0:2425.0 -> 3685.0:2470.0
NetworkPoint 1135.0:4750.0 -> 1090.0:4750.0
NetworkPoint -4730.0:1585.0 -> -4730.0:1540.0
NetworkPoint -4700.0:355.0 -> -4700.0:400.0
NetworkPoint -2435.0:3085.0 -> -2390.0:3085.0
NetworkPoint -4040.0:4750.0 -> -4085.0:4750.0
NetworkPoint 2620.0:-770.0 -> 2665.0:-770.0
NetworkPoint -950.0:-4265.0 -> 
NetworkPoint 2785.0:3115.0 -> 2740.0:3115.0
NetworkPoint 3655.0:-1100.0 -> 3655.0:-1145.0
NetworkPoint -4700.0:-1655.0 -> -4700.0:-1610.0
NetworkPoint 3280.0:-3785.0 -> 3235.0:-3785.0
NetworkPoint -4550.0:4720.0 -> -4505.0:4720.0
NetworkPoint -635.0:4720.0 -> -590.0:4720.0
NetworkPoint 3685.0:-455.0 -> 3685.0:-410.0
NetworkPoint 3655.0:775.0 -> 3655.0:730.0
NetworkPoint 3325.0:4750.0 -> 3280.0:4750.0
NetworkPoint 820.0:-4325.0 -> 820.0:-4370.0
NetworkPoint 2020.0:-4790.0 -> 1975.0:-4790.0
NetworkPoint -3020.0:-770.0 -> -2975.0:-770.0
NetworkPoint 820.0:-2450.0 -> 820.0:-2495.0
NetworkPoint 850.0:-3680.0 -> 850.0:-3635.0
NetworkPoint 3220.0:4300.0 -> 3220.0:4255.0
NetworkPoint 685.0:3085.0 -> 730.0:3085.0
NetworkPoint 850.0:-755.0 -> 865.0:-770.0
NetworkPoint 3280.0:-4790.0 -> 3235.0:-4790.0
NetworkPoint -1715.0:-740.0 -> -1760.0:-740.0
NetworkPoint 3655.0:-1010.0 -> 3655.0:-1055.0
NetworkPoint 310.0:400.0 -> 310.0:445.0
NetworkPoint 280.0:1630.0 -> 280.0:1585.0
NetworkPoint 3670.0:-755.0 -> 3685.0:-725.0 3640.0:-740.0
NetworkPoint -4700.0:-1565.0 -> -4700.0:-1520.0
NetworkPoint 1945.0:3085.0 -> 1990.0:3085.0
NetworkPoint -1925.0:3115.0 -> -1970.0:3115.0
NetworkPoint -4730.0:1540.0 -> -4730.0:1495.0
NetworkPoint -4700.0:310.0 -> -4700.0:355.0
NetworkPoint 3370.0:3865.0 -> 3325.0:3865.0
NetworkPoint 1210.0:-3170.0 -> 1165.0:-3170.0
NetworkPoint -4100.0:-4265.0 -> -4055.0:-4265.0
NetworkPoint -2795.0:-4235.0 -> -2840.0:-4235.0
NetworkPoint 3655.0:-1145.0 -> 3655.0:-1190.0
NetworkPoint -905.0:-4280.0 -> 
NetworkPoint 850.0:-1625.0 -> 850.0:-1580.0
NetworkPoint 2395.0:4750.0 -> 2350.0:4750.0
NetworkPoint -2210.0:-4265.0 -> -2165.0:-4265.0
NetworkPoint -200.0:4120.0 -> -200.0:4075.0
NetworkPoint 10.0:-4490.0 -> 55.0:-4490.0
NetworkPoint -2780.0:4750.0 -> -2825.0:4750.0
NetworkPoint -4700.0:400.0 -> -4700.0:445.0
NetworkPoint -4730.0:1630.0 -> -4730.0:1585.0
NetworkPoint 1225.0:-770.0 -> 1270.0:-770.0
NetworkPoint 3220.0:4255.0 -> 3220.0:4210.0
NetworkPoint -1130.0:-770.0 -> -1085.0:-770.0
NetworkPoint 820.0:-4370.0 -> 820.0:-4415.0
NetworkPoint 2890.0:-3200.0 -> 2935.0:-3200.0
NetworkPoint 2830.0:-740.0 -> 2785.0:-740.0
NetworkPoint -350.0:-4040.0 -> -305.0:-4040.0
NetworkPoint 280.0:1585.0 -> 280.0:1540.0
NetworkPoint 310.0:355.0 -> 310.0:400.0
NetworkPoint 3490.0:3835.0 -> 3535.0:3835.0
NetworkPoint 3235.0:4735.0 -> 3205.0:4750.0 3220.0:4705.0
NetworkPoint 175.0:-740.0 -> 130.0:-740.0
NetworkPoint -4700.0:-1610.0 -> -4700.0:-1565.0
NetworkPoint 925.0:4720.0 -> 970.0:4720.0
NetworkPoint 850.0:-4505.0 -> 
NetworkPoint 3685.0:4375.0 -> 3685.0:4420.0
NetworkPoint 2035.0:3085.0 -> 2080.0:3085.0
NetworkPoint -4730.0:3355.0 -> -4730.0:3310.0
NetworkPoint -365.0:-740.0 -> -410.0:-740.0
NetworkPoint -1760.0:-740.0 -> -1805.0:-740.0
NetworkPoint 2530.0:-3815.0 -> 2575.0:-3815.0
NetworkPoint -2975.0:3085.0 -> -2930.0:3085.0
NetworkPoint 3685.0:-2435.0 -> 3685.0:-2390.0
NetworkPoint 250.0:4720.0 -> 295.0:4720.0
NetworkPoint -4145.0:-4265.0 -> -4100.0:-4265.0
NetworkPoint -4700.0:-755.0 -> -4685.0:-770.0
NetworkPoint -170.0:4705.0 -> -185.0:4720.0 -185.0:4735.0 -155.0:4720.0
NetworkPoint 3655.0:3640.0 -> 3655.0:3595.0
NetworkPoint 280.0:-440.0 -> 280.0:-485.0
NetworkPoint -2120.0:-4265.0 -> -2075.0:-4265.0
NetworkPoint 2395.0:-4820.0 -> 2440.0:-4820.0
NetworkPoint 850.0:-860.0 -> 850.0:-815.0
NetworkPoint 520.0:3115.0 -> 475.0:3115.0
NetworkPoint 3685.0:-2345.0 -> 3685.0:-2300.0
NetworkPoint 1315.0:-770.0 -> 1360.0:-770.0
NetworkPoint 1135.0:-4820.0 -> 1180.0:-4820.0
NetworkPoint 3250.0:4060.0 -> 3250.0:4105.0
NetworkPoint 2110.0:-3785.0 -> 2065.0:-3785.0
NetworkPoint -4730.0:-440.0 -> -4730.0:-485.0
NetworkPoint 2575.0:-770.0 -> 2620.0:-770.0
NetworkPoint -1040.0:-770.0 -> -995.0:-770.0
NetworkPoint 3580.0:3835.0 -> 3625.0:3835.0
NetworkPoint -3200.0:4720.0 -> -3155.0:4720.0
NetworkPoint 265.0:-740.0 -> 220.0:-740.0
NetworkPoint 1765.0:-4820.0 -> 1810.0:-4820.0
NetworkPoint 820.0:-1415.0 -> 820.0:-1460.0
NetworkPoint -1940.0:4720.0 -> -1895.0:4720.0
NetworkPoint -4700.0:3175.0 -> -4700.0:3220.0
NetworkPoint -4700.0:1300.0 -> -4700.0:1345.0
NetworkPoint -4730.0:2530.0 -> -4730.0:2485.0
NetworkPoint -3650.0:-740.0 -> -3695.0:-740.0
NetworkPoint 2530.0:3865.0 -> 2485.0:3865.0
NetworkPoint 3280.0:4750.0 -> 3265.0:4750.0
NetworkPoint -4325.0:-770.0 -> -4280.0:-770.0
NetworkPoint 3670.0:-770.0 -> 3655.0:-785.0
NetworkPoint -4730.0:-350.0 -> -4730.0:-395.0
NetworkPoint 2905.0:4720.0 -> 2950.0:4720.0
NetworkPoint -170.0:4660.0 -> -170.0:4705.0
NetworkPoint 580.0:-4010.0 -> 535.0:-4010.0
NetworkPoint 3655.0:1720.0 -> 3655.0:1675.0
NetworkPoint 3685.0:490.0 -> 3685.0:535.0
NetworkPoint 3460.0:3085.0 -> 3505.0:3085.0
NetworkPoint -1490.0:-4265.0 -> -1445.0:-4265.0
NetworkPoint 280.0:2440.0 -> 280.0:2395.0
NetworkPoint 310.0:1210.0 -> 310.0:1255.0
NetworkPoint -1715.0:3085.0 -> -1670.0:3085.0
NetworkPoint 2245.0:3115.0 -> 2200.0:3115.0
NetworkPoint 3685.0:4240.0 -> 3685.0:4285.0
NetworkPoint 3685.0:-2390.0 -> 3685.0:-2345.0
NetworkPoint -800.0:4750.0 -> -845.0:4750.0
NetworkPoint 3655.0:-3035.0 -> 3655.0:-3080.0
NetworkPoint 3505.0:3115.0 -> 3460.0:3115.0
NetworkPoint 3250.0:4015.0 -> 3250.0:4060.0
NetworkPoint -1445.0:-4235.0 -> -1490.0:-4235.0
NetworkPoint 820.0:-1505.0 -> 820.0:-1550.0
NetworkPoint -4730.0:-485.0 -> -4730.0:-530.0
NetworkPoint 3205.0:-770.0 -> 3250.0:-770.0
NetworkPoint -1085.0:3085.0 -> -1040.0:3085.0
NetworkPoint 280.0:2575.0 -> 280.0:2530.0
NetworkPoint 310.0:1345.0 -> 310.0:1390.0
NetworkPoint 2650.0:3835.0 -> 2695.0:3835.0
NetworkPoint -215.0:4720.0 -> -200.0:4705.0 -200.0:4735.0 -155.0:4720.0
NetworkPoint 3655.0:1810.0 -> 3655.0:1765.0
NetworkPoint 3685.0:580.0 -> 3685.0:625.0
NetworkPoint -4700.0:1255.0 -> -4700.0:1300.0
NetworkPoint -4730.0:2485.0 -> -4730.0:2440.0
NetworkPoint 1780.0:3115.0 -> 1735.0:3115.0
NetworkPoint -4085.0:4750.0 -> -4130.0:4750.0
NetworkPoint 2740.0:-4790.0 -> 2695.0:-4790.0
NetworkPoint -3695.0:-770.0 -> -3650.0:-770.0
NetworkPoint -4460.0:4720.0 -> -4415.0:4720.0
NetworkPoint -995.0:-740.0 -> -1040.0:-740.0
NetworkPoint 3535.0:4720.0 -> 3580.0:4720.0
NetworkPoint -3230.0:3115.0 -> -3275.0:3115.0
NetworkPoint -4700.0:-3500.0 -> -4700.0:-3455.0
NetworkPoint -4730.0:-2270.0 -> -4730.0:-2315.0
NetworkPoint 1585.0:-3200.0 -> 1630.0:-3200.0
NetworkPoint 1525.0:-740.0 -> 1480.0:-740.0
NetworkPoint -170.0:4615.0 -> -170.0:4660.0
NetworkPoint 1270.0:3085.0 -> 1315.0:3085.0
NetworkPoint 2845.0:-3200.0 -> 2890.0:-3200.0
NetworkPoint 2785.0:-740.0 -> 2740.0:-740.0
NetworkPoint 3655.0:1675.0 -> 3655.0:1630.0
NetworkPoint 3685.0:445.0 -> 3685.0:490.0
NetworkPoint -2600.0:3115.0 -> -2645.0:3115.0
NetworkPoint -3860.0:3115.0 -> -3905.0:3115.0
NetworkPoint -4730.0:3445.0 -> -4730.0:3400.0
NetworkPoint 3655.0:-3080.0 -> 3655.0:-3125.0
NetworkPoint 1795.0:-3170.0 -> 1750.0:-3170.0
NetworkPoint 3250.0:3970.0 -> 3250.0:4015.0
NetworkPoint 820.0:-1550.0 -> 820.0:-1595.0
NetworkPoint 280.0:2530.0 -> 280.0:2485.0
NetworkPoint 310.0:1300.0 -> 310.0:1345.0
NetworkPoint 1135.0:-3815.0 -> 1180.0:-3815.0
NetworkPoint 1855.0:4750.0 -> 1810.0:4750.0
NetworkPoint -2750.0:-4265.0 -> -2705.0:-4265.0
NetworkPoint -530.0:-4490.0 -> -485.0:-4490.0
NetworkPoint 2140.0:3715.0 -> 2140.0:3760.0
NetworkPoint 3115.0:4750.0 -> 3070.0:4750.0
NetworkPoint 685.0:-770.0 -> 730.0:-770.0
NetworkPoint 3655.0:1765.0 -> 3655.0:1720.0
NetworkPoint 3685.0:535.0 -> 3685.0:580.0
NetworkPoint -2060.0:4750.0 -> -2105.0:4750.0
NetworkPoint 1480.0:-3785.0 -> 1435.0:-3785.0
NetworkPoint 1165.0:-3170.0 -> 1120.0:-3170.0
NetworkPoint 3325.0:3865.0 -> 3280.0:3865.0
NetworkPoint -4700.0:1210.0 -> -4700.0:1255.0
NetworkPoint -4730.0:2440.0 -> -4730.0:2395.0
NetworkPoint -4100.0:-4235.0 -> -4145.0:-4235.0
NetworkPoint -1670.0:-770.0 -> -1625.0:-770.0
NetworkPoint -890.0:-4040.0 -> -845.0:-4040.0
NetworkPoint 3655.0:3730.0 -> 3655.0:3685.0
NetworkPoint -3830.0:4720.0 -> -3785.0:4720.0
NetworkPoint 3655.0:-2990.0 -> 3655.0:-3035.0
NetworkPoint 3610.0:-3200.0 -> 3640.0:-3200.0
NetworkPoint 280.0:-350.0 -> 280.0:-395.0
NetworkPoint 3550.0:-740.0 -> 3505.0:-740.0
NetworkPoint 370.0:-4040.0 -> 415.0:-4040.0
NetworkPoint -2570.0:4720.0 -> -2525.0:4720.0
NetworkPoint -4700.0:-3545.0 -> -4700.0:-3500.0
NetworkPoint -4730.0:-2315.0 -> -4730.0:-2360.0
NetworkPoint 2140.0:3580.0 -> 2140.0:3625.0
NetworkPoint -575.0:3115.0 -> -620.0:3115.0
NetworkPoint 220.0:-770.0 -> 265.0:-770.0
NetworkPoint 310.0:-4460.0 -> 265.0:-4460.0
NetworkPoint -680.0:-4010.0 -> -725.0:-4010.0
NetworkPoint -4730.0:3400.0 -> -4730.0:3355.0
NetworkPoint 3250.0:3925.0 -> 3250.0:3970.0
NetworkPoint -50.0:-4010.0 -> -95.0:-4010.0
NetworkPoint -3605.0:3085.0 -> -3560.0:3085.0
NetworkPoint 3160.0:-3815.0 -> 3205.0:-3815.0
NetworkPoint -1205.0:3115.0 -> -1250.0:3115.0
NetworkPoint 280.0:2485.0 -> 280.0:2440.0
NetworkPoint 310.0:1255.0 -> 310.0:1300.0
NetworkPoint -2345.0:3085.0 -> -2300.0:3085.0
NetworkPoint 880.0:4720.0 -> 925.0:4720.0
NetworkPoint 2140.0:3670.0 -> 2140.0:3715.0
NetworkPoint 3190.0:-3170.0 -> 3145.0:-3170.0
NetworkPoint -1430.0:4750.0 -> -1475.0:4750.0
NetworkPoint 2875.0:3115.0 -> 2830.0:3115.0
NetworkPoint -2075.0:-4235.0 -> -2120.0:-4235.0
NetworkPoint -4700.0:1165.0 -> -4700.0:1210.0
NetworkPoint -4730.0:2395.0 -> -4730.0:2350.0
NetworkPoint -4700.0:-3635.0 -> -4700.0:-3590.0
NetworkPoint -4730.0:-2405.0 -> -4730.0:-2450.0
NetworkPoint 2200.0:3085.0 -> 2245.0:3085.0
NetworkPoint 3655.0:3685.0 -> 3655.0:3640.0
NetworkPoint -4730.0:3490.0 -> -4730.0:3445.0
NetworkPoint 3655.0:3595.0 -> 3655.0:3550.0
NetworkPoint 280.0:-395.0 -> 280.0:-440.0
NetworkPoint 460.0:4750.0 -> 415.0:4750.0
NetworkPoint 3685.0:4330.0 -> 3685.0:4375.0
NetworkPoint 1150.0:3115.0 -> 1105.0:3115.0
NetworkPoint 1945.0:-770.0 -> 1990.0:-770.0
NetworkPoint 2740.0:-3785.0 -> 2695.0:-3785.0
NetworkPoint -3065.0:-770.0 -> -3020.0:-770.0
NetworkPoint 955.0:-3200.0 -> 1000.0:-3200.0
NetworkPoint 895.0:-740.0 -> 865.0:-740.0
NetworkPoint 640.0:3085.0 -> 685.0:3085.0
NetworkPoint -4280.0:-740.0 -> -4325.0:-740.0
NetworkPoint 2215.0:-3200.0 -> 2260.0:-3200.0
NetworkPoint 2155.0:-740.0 -> 2110.0:-740.0
NetworkPoint 280.0:-305.0 -> 280.0:-350.0
NetworkPoint -3020.0:-740.0 -> -3065.0:-740.0
NetworkPoint 3160.0:3865.0 -> 3115.0:3865.0
NetworkPoint 2275.0:4720.0 -> 2320.0:4720.0
NetworkPoint 1345.0:-4790.0 -> 1300.0:-4790.0
NetworkPoint 2140.0:3625.0 -> 2140.0:3670.0
NetworkPoint -4490.0:3115.0 -> -4535.0:3115.0
NetworkPoint 3655.0:-3125.0 -> 3655.0:-3155.0
NetworkPoint -2390.0:-740.0 -> -2435.0:-740.0
NetworkPoint 2830.0:3085.0 -> 2875.0:3085.0
NetworkPoint 2485.0:4750.0 -> 2440.0:4750.0
NetworkPoint 100.0:-4490.0 -> 145.0:-4490.0
NetworkPoint -2690.0:4750.0 -> -2735.0:4750.0
NetworkPoint 3685.0:4285.0 -> 3685.0:4330.0
NetworkPoint 220.0:3115.0 -> 175.0:3115.0
NetworkPoint 3370.0:-3785.0 -> 3325.0:-3785.0
NetworkPoint 820.0:-1460.0 -> 820.0:-1505.0
NetworkPoint -155.0:3085.0 -> -110.0:3085.0
NetworkPoint -3470.0:-4235.0 -> -3515.0:-4235.0
NetworkPoint -455.0:3085.0 -> -410.0:3085.0
NetworkPoint 730.0:-4490.0 -> 775.0:-4490.0
NetworkPoint -545.0:4720.0 -> -500.0:4720.0
NetworkPoint -4700.0:3130.0 -> -4700.0:3175.0
NetworkPoint -260.0:-4040.0 -> -215.0:-4040.0
NetworkPoint -4700.0:-3590.0 -> -4700.0:-3545.0
NetworkPoint -4730.0:-2360.0 -> -4730.0:-2405.0
NetworkPoint 850.0:-815.0 -> 850.0:-785.0
NetworkPoint 3685.0:-2300.0 -> 3685.0:-2255.0
NetworkPoint -410.0:-770.0 -> -365.0:-770.0
NetworkPoint -320.0:-4460.0 -> -365.0:-4460.0
NetworkPoint -4730.0:-395.0 -> -4730.0:-440.0
NetworkPoint 3370.0:-4790.0 -> 3325.0:-4790.0
NetworkPoint 1990.0:3085.0 -> 2035.0:3085.0
NetworkPoint -2930.0:-740.0 -> -2975.0:-740.0
NetworkPoint 3685.0:-1490.0 -> 3685.0:-1445.0
NetworkPoint 3655.0:-260.0 -> 3655.0:-305.0
NetworkPoint 3655.0:2710.0 -> 3655.0:2665.0
NetworkPoint 3685.0:1480.0 -> 3685.0:1525.0
NetworkPoint -4700.0:2155.0 -> -4700.0:2200.0
NetworkPoint 2695.0:-4790.0 -> 2650.0:-4790.0
NetworkPoint 3685.0:-4370.0 -> 3685.0:-4325.0
NetworkPoint -3140.0:3115.0 -> -3185.0:3115.0
NetworkPoint 820.0:-3485.0 -> 820.0:-3530.0
NetworkPoint 3685.0:3355.0 -> 3685.0:3400.0
NetworkPoint 265.0:3085.0 -> 
NetworkPoint -4700.0:4030.0 -> -4700.0:4075.0
NetworkPoint -4700.0:-2600.0 -> -4700.0:-2555.0
NetworkPoint -4730.0:-1370.0 -> -4730.0:-1415.0
NetworkPoint 1855.0:-3815.0 -> 1900.0:-3815.0
NetworkPoint -3650.0:3085.0 -> -3605.0:3085.0
NetworkPoint 1405.0:-770.0 -> 1450.0:-770.0
NetworkPoint 3655.0:2575.0 -> 3655.0:2530.0
NetworkPoint 3685.0:1345.0 -> 3685.0:1390.0
NetworkPoint 1225.0:-4820.0 -> 1270.0:-4820.0
NetworkPoint -1340.0:4750.0 -> -1385.0:4750.0
NetworkPoint -2735.0:4750.0 -> -2780.0:4750.0
NetworkPoint -3380.0:-4235.0 -> -3425.0:-4235.0
NetworkPoint -170.0:-4040.0 -> -125.0:-4040.0
NetworkPoint -4730.0:4345.0 -> -4730.0:4300.0
NetworkPoint -3110.0:4720.0 -> -3065.0:4720.0
NetworkPoint -4730.0:4255.0 -> -4730.0:4210.0
NetworkPoint 1855.0:-4820.0 -> 1900.0:-4820.0
NetworkPoint 3655.0:-4010.0 -> 3655.0:-4055.0
NetworkPoint -4700.0:2065.0 -> -4700.0:2110.0
NetworkPoint 3685.0:-1535.0 -> 3685.0:-1490.0
NetworkPoint 3655.0:-305.0 -> 3655.0:-350.0
NetworkPoint -155.0:3115.0 -> 
NetworkPoint -4235.0:-770.0 -> -4190.0:-770.0
NetworkPoint -4700.0:2110.0 -> -4700.0:2155.0
NetworkPoint -4700.0:-2690.0 -> -4700.0:-2645.0
NetworkPoint -4730.0:-1460.0 -> -4730.0:-1505.0
NetworkPoint 3205.0:3835.0 -> 3220.0:3850.0 3235.0:3850.0 3265.0:3835.0
NetworkPoint 820.0:-3530.0 -> 820.0:-3575.0
NetworkPoint -410.0:-740.0 -> -455.0:-740.0
NetworkPoint 3685.0:3310.0 -> 3685.0:3355.0
NetworkPoint 670.0:-4010.0 -> 625.0:-4010.0
NetworkPoint 3685.0:-3320.0 -> 3685.0:-3275.0
NetworkPoint 3655.0:-2090.0 -> 3655.0:-2135.0
NetworkPoint 340.0:4720.0 -> 385.0:4720.0
NetworkPoint 3565.0:-3200.0 -> 3610.0:-3200.0
NetworkPoint 310.0:-680.0 -> 310.0:-635.0
NetworkPoint 280.0:550.0 -> 280.0:505.0
NetworkPoint 3505.0:-740.0 -> 3460.0:-740.0
NetworkPoint -4700.0:3985.0 -> -4700.0:4030.0
NetworkPoint -1880.0:3115.0 -> -1925.0:3115.0
NetworkPoint 2155.0:3865.0 -> 2125.0:3850.0 2140.0:3850.0
NetworkPoint 310.0:3070.0 -> 
NetworkPoint -710.0:4750.0 -> -755.0:4750.0
NetworkPoint 2515.0:-3170.0 -> 2470.0:-3170.0
NetworkPoint 2200.0:3115.0 -> 2155.0:3115.0
NetworkPoint -4730.0:460.0 -> -4730.0:415.0
NetworkPoint -995.0:3085.0 -> -950.0:3085.0
NetworkPoint 2740.0:3835.0 -> 2785.0:3835.0
NetworkPoint -1490.0:-4235.0 -> -1535.0:-4235.0
NetworkPoint -80.0:4750.0 -> -125.0:4750.0
NetworkPoint 3115.0:-3815.0 -> 3160.0:-3815.0
NetworkPoint 3655.0:-4055.0 -> 3655.0:-4100.0
NetworkPoint -2165.0:-4265.0 -> -2120.0:-4265.0
NetworkPoint -4700.0:4075.0 -> -4700.0:4120.0
NetworkPoint 1870.0:3115.0 -> 1825.0:3115.0
NetworkPoint -3995.0:4750.0 -> -4040.0:4750.0
NetworkPoint 2665.0:-770.0 -> 2710.0:-770.0
NetworkPoint 850.0:-2705.0 -> 850.0:-2660.0
NetworkPoint 3460.0:-3785.0 -> 3415.0:-3785.0
NetworkPoint -3605.0:-770.0 -> -3560.0:-770.0
NetworkPoint 2065.0:-3785.0 -> 2020.0:-3785.0
NetworkPoint 3685.0:-3410.0 -> 3685.0:-3365.0
NetworkPoint 3655.0:-2180.0 -> 3655.0:-2225.0
NetworkPoint -2120.0:-4235.0 -> -2165.0:-4235.0
NetworkPoint -4700.0:-2735.0 -> -4700.0:-2690.0
NetworkPoint -4730.0:-1505.0 -> -4730.0:-1550.0
NetworkPoint -1850.0:4720.0 -> -1805.0:4720.0
NetworkPoint 1675.0:-3200.0 -> 1720.0:-3200.0
NetworkPoint 1615.0:-740.0 -> 1570.0:-740.0
NetworkPoint -3560.0:-740.0 -> -3605.0:-740.0
NetworkPoint -590.0:4720.0 -> -545.0:4720.0
NetworkPoint 3370.0:4750.0 -> 3325.0:4750.0
NetworkPoint -4700.0:3940.0 -> -4700.0:3985.0
NetworkPoint 2065.0:-4790.0 -> 2020.0:-4790.0
NetworkPoint 1600.0:4720.0 -> 1645.0:4720.0
NetworkPoint -3770.0:3115.0 -> -3815.0:3115.0
NetworkPoint 730.0:3085.0 -> 775.0:3085.0
NetworkPoint 3325.0:-4790.0 -> 3280.0:-4790.0
NetworkPoint 2860.0:4720.0 -> 2905.0:4720.0
NetworkPoint 310.0:2245.0 -> 310.0:2290.0
NetworkPoint 3550.0:3085.0 -> 3595.0:3085.0
NetworkPoint -4700.0:-2645.0 -> -4700.0:-2600.0
NetworkPoint -4730.0:-1415.0 -> -4730.0:-1460.0
NetworkPoint 1225.0:-3815.0 -> 1270.0:-3815.0
NetworkPoint -1625.0:3085.0 -> -1580.0:3085.0
NetworkPoint -4640.0:-4235.0 -> -4685.0:-4235.0
NetworkPoint -905.0:-4355.0 -> -905.0:-4310.0
NetworkPoint -4280.0:3085.0 -> -4235.0:3085.0
NetworkPoint 310.0:-635.0 -> 310.0:-590.0
NetworkPoint 280.0:595.0 -> 280.0:550.0
NetworkPoint 3595.0:3115.0 -> 3550.0:3115.0
NetworkPoint 1255.0:-3170.0 -> 1210.0:-3170.0
NetworkPoint -575.0:-4490.0 -> -530.0:-4490.0
NetworkPoint 3295.0:-770.0 -> 3340.0:-770.0
NetworkPoint 3415.0:3865.0 -> 3370.0:3865.0
NetworkPoint -3365.0:4750.0 -> -3410.0:4750.0
NetworkPoint -4010.0:-4235.0 -> -4055.0:-4235.0
NetworkPoint 850.0:-2750.0 -> 850.0:-2705.0
NetworkPoint -4055.0:-4265.0 -> -4010.0:-4265.0
NetworkPoint -3740.0:4720.0 -> -3695.0:4720.0
NetworkPoint 3685.0:-3455.0 -> 3685.0:-3410.0
NetworkPoint 3655.0:-2225.0 -> 3655.0:-2270.0
NetworkPoint 3655.0:-4100.0 -> 3655.0:-4145.0
NetworkPoint 1180.0:4750.0 -> 1135.0:4750.0
NetworkPoint 2440.0:4750.0 -> 2395.0:4750.0
NetworkPoint -890.0:-4010.0 -> 
NetworkPoint -2345.0:-770.0 -> -2300.0:-770.0
NetworkPoint 1360.0:3085.0 -> 1405.0:3085.0
NetworkPoint -1040.0:-740.0 -> -1085.0:-740.0
NetworkPoint -1085.0:-770.0 -> -1040.0:-770.0
NetworkPoint 2935.0:-3200.0 -> 2980.0:-3200.0
NetworkPoint 310.0:-725.0 -> 310.0:-680.0
NetworkPoint 280.0:505.0 -> 280.0:460.0
NetworkPoint 2875.0:-740.0 -> 2830.0:-740.0
